Players,Team,Position,Total Passes,Completed Passes,Accuracy (%),
Rodri,Spain,MF,799,747,93,
Pau Cubarsi,Spain,DF,690,668,97,
Aymeric Laporte,Spain,DF,660,618,94,
Leandro Paredes,Argentina,MF,565,532,94,
Marc Guehi,England,DF,532,514,97,
Enzo Fernandez,Argentina,MF,519,480,92,
Ezri Konsa,England,DF,488,469,96,
Manuel Akanji,Switzerland,DF,479,444,93,
Marc Cucurella,Spain,DF,474,433,91,
Granit Xhala,Switzerland,MF,470,427,91,
Pedri,Spain,MF,469,420,90,
Lisandro Martinez,Argentina,DF,450,422,94,
Achraf Hakimi,Morroco,DF,449,402,90,
Elliot Anderson,England,MF,445,396,89,
Dayot Upamecano,France,DF,443,409,92,
Nico Elvedi,Switzerland,DF,438,406,93,
Neil El Aynaoui,Morroco,MF,433,405,94,
Gabriel Magalhaes,Brazil,DF,431,413,96,
Alexis Mac Allister,Argentina,MF,430,393,91,
Cristian Romero,Argentina,DF,430,415,97,
Sander Berge,Norway,MF,425,412,97,
Pedro Porro,Spain,DF,420,379,90,
Michael Olise,France,FW,417,362,87,
Vitinha,Portugal,MF,403,379,94,
Brandon Mechele,Belgium,DF,399,369,92,
Ramy Bensebaini,Algeria,DF,385,359,93,
Aissa Mandi,Algeria,DF,382,357,93,
Marquinhos,Brazil,DF,380,367,97,
Jonathan Tah,Germany,DF,375,364,97,
Joshua Kimmich,Germany,DF,368,336,91,
