match_id,match_number,stage_group,group,team,opponent,goals
2026-M001-MEX-RSA,1,Group stage,Group A,Mexico,South Africa,2
2026-M001-MEX-RSA,1,Group stage,Group A,South Africa,Mexico,0
2026-M002-KOR-CZE,2,Group stage,Group A,Czechia,Korea Republic,1
2026-M002-KOR-CZE,2,Group stage,Group A,Korea Republic,Czechia,2
2026-M003-CAN-BIH,3,Group stage,Group B,Bosnia and Herzegovina,Canada,1
2026-M003-CAN-BIH,3,Group stage,Group B,Canada,Bosnia and Herzegovina,1
2026-M004-USA-PAR,4,Group stage,Group D,Paraguay,USA,1
2026-M004-USA-PAR,4,Group stage,Group D,USA,Paraguay,4
2026-M005-HAI-SCO,5,Group stage,Group C,Haiti,Scotland,0
2026-M005-HAI-SCO,5,Group stage,Group C,Scotland,Haiti,1
2026-M006-AUS-TUR,6,Group stage,Group D,Australia,Türkiye,2
2026-M006-AUS-TUR,6,Group stage,Group D,Türkiye,Australia,0
2026-M007-BRA-MAR,7,Group stage,Group C,Brazil,Morocco,1
2026-M007-BRA-MAR,7,Group stage,Group C,Morocco,Brazil,1
2026-M008-QAT-SUI,8,Group stage,Group B,Qatar,Switzerland,1
2026-M008-QAT-SUI,8,Group stage,Group B,Switzerland,Qatar,1
2026-M009-CIV-ECU,9,Group stage,Group E,Côte d'Ivoire,Ecuador,1
2026-M009-CIV-ECU,9,Group stage,Group E,Ecuador,Côte d'Ivoire,0
2026-M010-GER-CUW,10,Group stage,Group E,Curaçao,Germany,1
2026-M010-GER-CUW,10,Group stage,Group E,Germany,Curaçao,7
2026-M011-NED-JPN,11,Group stage,Group F,Japan,Netherlands,2
2026-M011-NED-JPN,11,Group stage,Group F,Netherlands,Japan,2
2026-M012-SWE-TUN,12,Group stage,Group F,Sweden,Tunisia,5
2026-M012-SWE-TUN,12,Group stage,Group F,Tunisia,Sweden,1
2026-M013-KSA-URU,13,Group stage,Group H,Saudi Arabia,Uruguay,1
2026-M013-KSA-URU,13,Group stage,Group H,Uruguay,Saudi Arabia,1
2026-M014-ESP-CPV,14,Group stage,Group H,Cabo Verde,Spain,0
2026-M014-ESP-CPV,14,Group stage,Group H,Spain,Cabo Verde,0
2026-M015-IRN-NZL,15,Group stage,Group G,IR Iran,New Zealand,2
2026-M015-IRN-NZL,15,Group stage,Group G,New Zealand,IR Iran,2
2026-M016-BEL-EGY,16,Group stage,Group G,Belgium,Egypt,1
2026-M016-BEL-EGY,16,Group stage,Group G,Egypt,Belgium,1
2026-M017-FRA-SEN,17,Group stage,Group I,France,Senegal,3
2026-M017-FRA-SEN,17,Group stage,Group I,Senegal,France,1
2026-M018-IRQ-NOR,18,Group stage,Group I,Iraq,Norway,1
2026-M018-IRQ-NOR,18,Group stage,Group I,Norway,Iraq,4
2026-M019-ARG-ALG,19,Group stage,Group J,Algeria,Argentina,0
2026-M019-ARG-ALG,19,Group stage,Group J,Argentina,Algeria,3
2026-M020-AUT-JOR,20,Group stage,Group J,Austria,Jordan,3
2026-M020-AUT-JOR,20,Group stage,Group J,Jordan,Austria,1
2026-M021-GHA-PAN,21,Group stage,Group L,Ghana,Panama,1
2026-M021-GHA-PAN,21,Group stage,Group L,Panama,Ghana,0
2026-M022-ENG-CRO,22,Group stage,Group L,Croatia,England,2
2026-M022-ENG-CRO,22,Group stage,Group L,England,Croatia,4
2026-M023-POR-COD,23,Group stage,Group K,Congo DR,Portugal,1
2026-M023-POR-COD,23,Group stage,Group K,Portugal,Congo DR,1
2026-M024-UZB-COL,24,Group stage,Group K,Colombia,Uzbekistan,3
2026-M024-UZB-COL,24,Group stage,Group K,Uzbekistan,Colombia,1
2026-M025-CZE-RSA,25,Group stage,Group A,Czechia,South Africa,1
2026-M025-CZE-RSA,25,Group stage,Group A,South Africa,Czechia,1
2026-M026-SUI-BIH,26,Group stage,Group B,Bosnia and Herzegovina,Switzerland,1
2026-M026-SUI-BIH,26,Group stage,Group B,Switzerland,Bosnia and Herzegovina,4
2026-M027-CAN-QAT,27,Group stage,Group B,Canada,Qatar,6
2026-M027-CAN-QAT,27,Group stage,Group B,Qatar,Canada,0
2026-M028-MEX-KOR,28,Group stage,Group A,Korea Republic,Mexico,0
2026-M028-MEX-KOR,28,Group stage,Group A,Mexico,Korea Republic,1
2026-M029-BRA-HAI,29,Group stage,Group C,Brazil,Haiti,3
2026-M029-BRA-HAI,29,Group stage,Group C,Haiti,Brazil,0
2026-M030-SCO-MAR,30,Group stage,Group C,Morocco,Scotland,1
2026-M030-SCO-MAR,30,Group stage,Group C,Scotland,Morocco,0
2026-M031-TUR-PAR,31,Group stage,Group D,Paraguay,Türkiye,1
2026-M031-TUR-PAR,31,Group stage,Group D,Türkiye,Paraguay,0
2026-M032-USA-AUS,32,Group stage,Group D,Australia,USA,0
2026-M032-USA-AUS,32,Group stage,Group D,USA,Australia,2
2026-M033-GER-CIV,33,Group stage,Group E,Côte d'Ivoire,Germany,1
