Player,Team,Matches Played,Matches Started,Minutes Played,SoTA,Saves,Save%
Yazeed Abulaila,Jordan,3,3,270,16,8,50
Mahmoud Abunada,Qatar,3,3,270,22,12,54.5
Alisson,Brazil,5,5,450,18,14,77.8
Benjamin Asare,Ghana,3,2,225,10,8,80
Lawrence Ati-Zigi,Ghana,2,2,135,9,8,88.9
Ahmed Basil,Iraq,2,2,135,7,3,42.9
Patrick Beach,Australia,4,4,388,17,14,82.4
Alireza Beiranvand,IR Iran,3,3,270,18,15,83.3
Oussama Benbot,Algeria,1,1,90,3,0,0
Yassine Bounou,Morocco,6,6,570,20,14,70
Ugurcan Cakir,Turkiye,3,3,270,13,8,61.5
Mouhib Chamakh,Tunisia,1,1,90,6,1,16.7
Diogo Costa,Portugal,5,5,450,22,19,86.4
Thibaut Courtois,Belgium,6,6,550,20,14,70
Maxime Crepeau,Canada,5,5,450,12,6,50
Max Crocombe,New Zealand,3,3,270,21,11,52.4
Aymen Dahmen,Tunisia,2,2,180,12,5,41.7
Mory Diaw,Senegal,3,2,238,7,4,57.1
Yahia Fofana,Cote d'Ivoire,4,4,360,13,9,69.2
Matt Freese,USA,4,4,360,13,8,61.5
Hernan Galindez,Ecuador,4,4,360,13,9,69.2
Orlando Gill,Paraguay,5,5,480,29,23,79.3
Angus Gunn,Scotland,3,3,270,12,8,66.7
Jalal Hassan,Iraq,2,1,135,16,8,50
Dean Henderson,England,1,1,90,9,5,55.6
Gregor Kobel,Switzerland,6,6,600,26,20,76.9
Matej Kovar,Czechia,3,3,270,15,9,60
Senne Lammens,Belgium,1,0,20,3,2,66.7
Dominik Livakovic,Croatia,4,4,360,17,10,58.8
Mike Maignan,France,8,8,720,22,12,54.5
Emiliano Martinez,Argentina,8,8,810,28,20,71.4
Edouard Mendy,Senegal,2,2,152,14,8,57.1
Orlando Mosquera,Panama,3,3,270,11,7,63.6
Lionel Mpasi,Congo DR,4,4,360,19,14,73.7
Fernando Muslera,Uruguay,3,3,225,8,4,50
Abduvohid Nematov,Uzbekistan,2,2,180,13,5,38.5
Manuel Neuer,Germany,4,4,390,10,5,50
Kristoffer Nordfeldt,Sweden,2,2,180,9,3,33.3
Orjan Nyland,Norway,5,5,480,22,15,68.2
Guillermo Ochoa,Mexico,1,0,13,0,0,
Mohammed Al-Owais,Saudi Arabia,3,3,270,21,16,76.2
Jordan Pickford,England,7,7,660,23,15,65.2
Johny Placide,Haiti,3,3,270,19,11,57.9
Raúl Rangel,Mexico,5,5,437,11,8,72.7
Sergio Rochet,Uruguay,1,0,45,0,0,
Eloy Room,Curacao,3,3,270,29,20,69
Mathew Ryan,Australia,1,0,2,0,0,
Alexander Schlager,Austria,4,4,360,22,13,59.1
Egil Selvik,Norway,1,1,90,9,5,55.6
Kim Seung-gyu,Korea Republic,3,3,270,12,9,75
Mostafa Shobeir,Egypt,5,5,480,19,12,63.2
Unai Simon,Spain,8,8,750,11,9,90.9
Zion Suzuki,Japan,4,4,360,17,12,70.6
Matt Turner,USA,1,1,90,3,0,0
Camilo Vargas,Colombia,5,5,480,7,6,85.7
Nikola Vasilj,Bosnia-Hertz,4,4,360,14,6,42.9
Bart Verbruggen,Netherlands,4,4,390,21,16,76.2
Vozinha,Cabo Verde,4,4,390,23,18,78.3
Jacob Widell Zetterstrom,Sweden,2,2,180,15,11,73.3
Ronwen Williams,South Africa,4,4,360,15,11,73.3
Utkir Yusupov,Uzbekistan,1,1,90,4,1,25
Luca Zidane,Algeria,3,3,270,14,8,57.1
